,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,VWAP,Average Price,Day_Perc_Change,Trend
134,2019-04-15,1226.53,1224.09,1229.3,1214.56,1190000.0,4,2019,1172.683907262785,1223.62,-0.0043672021495078095,Slight or No change
135,2019-04-12,1222.73,1215.62,1223.05,1213.29,1220000.0,4,2019,1172.977364409123,1218.6725,-0.003098171263646199,Slight or No change
136,2019-04-11,1209.59,1208.9,1212.74,1204.54,849950.0,4,2019,1173.1263240134265,1208.9424999999999,-0.010746444431722568,Slight or No change
137,2019-04-10,1206.45,1205.09,1208.94,1200.66,775460.0,4,2019,1173.24956277985,1205.285,-0.0025959209318858756,Slight or No change
138,2019-04-09,1202.69,1201.89,1207.15,1198.38,983840.0,4,2019,1173.3870526869619,1202.5275000000001,-0.003116581706660071,Slight or No change
139,2019-04-08,1208.28,1211.11,1213.95,1204.69,1090000.0,4,2019,1173.5666603997552,1209.5075000000002,0.004647914258869568,Slight or No change
140,2019-04-05,1211.45,1219.3,1220.39,1210.03,1000000.0,4,2019,1173.7447190230691,1215.2925,0.0026235640745522204,Slight or No change
141,2019-04-04,1219.45,1211.29,1220.55,1209.04,1050000.0,4,2019,1173.9691756236261,1215.0825,0.006603656774939015,Slight or No change
142,2019-04-03,1210.81,1212.7,1220.6,1205.08,1110000.0,4,2019,1174.15944994195,1212.2975000000001,-0.007085161343228563,Slight or No change
143,2019-04-02,1205.54,1200.05,1205.81,1191.24,914410.0,4,2019,1174.2923990728164,1200.66,-0.004352458271735471,Slight or No change
144,2019-04-01,1198.98,1187.54,1200.2,1186.36,1390000.0,4,2019,1174.4503745590516,1193.27,-0.005441544867859971,Slight or No change
145,2019-03-29,1176.89,1180.18,1183.97,1166.38,1540000.0,3,2019,1174.4675485729726,1176.855,-0.018423993728002075,Slight or No change
146,2019-03-28,1172.27,1175.5,1177.25,1163.43,1120000.0,3,2019,1174.4563550537473,1172.1125,-0.003925600523413508,Slight or No change
147,2019-03-27,1178.01,1191.92,1191.92,1164.23,1470000.0,3,2019,1174.4799548222022,1181.52,0.004896482892166487,Slight or No change
148,2019-03-26,1189.84,1205.19,1207.65,1181.76,1540000.0,3,2019,1174.5860800309244,1196.11,0.010042359572499215,Slight or No change
149,2019-03-25,1197.38,1199.56,1209.44,1190.0,1380000.0,3,2019,1174.726336491536,1199.095,0.006336986485578011,Slight or No change
150,2019-03-22,1207.65,1228.85,1233.63,1206.0,1720000.0,3,2019,1174.9769147362638,1219.0325,0.008577059914145924,Slight or No change
151,2019-03-21,1236.13,1220.0,1236.44,1216.58,1410000.0,3,2019,1175.3560926506877,1227.2875,0.023582991760857874,Slight or No change
152,2019-03-20,1226.43,1201.4,1229.99,1199.59,2080000.0,3,2019,1175.8190208351336,1214.3525,-0.007847071100936076,Slight or No change
153,2019-03-19,1202.46,1191.72,1203.4,1189.46,1490000.0,3,2019,1175.9908816818518,1196.7600000000002,-0.01954453168953796,Slight or No change
154,2019-03-18,1188.55,1189.69,1194.95,1181.48,1220000.0,3,2019,1176.056870684096,1188.6675,-0.011567952364319845,Slight or No change
155,2019-03-15,1190.3,1198.0,1201.72,1187.01,2590000.0,3,2019,1176.2139938485086,1194.2575000000002,0.001472382314585019,Slight or No change
156,2019-03-14,1192.53,1199.02,1204.7,1191.23,1370000.0,3,2019,1176.308648646726,1196.87,0.0018734772746367145,Slight or No change
157,2019-03-13,1199.06,1205.93,1207.12,1197.91,1290000.0,3,2019,1176.4322545467824,1202.5049999999999,0.0054757532305267365,Slight or No change
158,2019-03-12,1197.25,1182.3,1205.71,1182.3,2110000.0,3,2019,1176.6156194379269,1191.89,-0.0015095157873666887,Slight or No change
159,2019-03-11,1179.26,1152.0,1179.91,1151.57,1500000.0,3,2019,1176.6320746814517,1165.685,-0.015026101482564225,Slight or No change
160,2019-03-08,1149.97,1133.9,1153.45,1130.2,1180000.0,3,2019,1176.5021940858455,1141.8799999999999,-0.024837610026626877,Slight or No change
161,2019-03-07,1150.85,1160.5,1163.58,1141.71,1500000.0,3,2019,1176.3443228300384,1154.1599999999999,0.0007652373540179003,Slight or No change
162,2019-03-06,1164.94,1171.76,1174.74,1163.05,1180000.0,3,2019,1176.2893761716705,1168.6225,0.01224312464700028,Slight or No change
163,2019-03-05,1169.19,1156.0,1176.49,1153.02,2000000.0,3,2019,1176.2318708776068,1163.6750000000002,0.0036482565625697294,Slight or No change
164,2019-03-04,1153.42,1154.56,1165.52,1138.25,1770000.0,3,2019,1176.0695069073934,1152.9375,-0.013487970304227659,Slight or No change
165,2019-03-01,1148.52,1131.0,1150.0,1131.0,1700000.0,3,2019,1175.8824561413319,1140.13,-0.004248235681711843,Slight or No change
166,2019-02-28,1126.55,1119.0,1133.99,1118.41,1370000.0,2,2019,1175.6139957487542,1124.4875,-0.01912896597360081,Slight or No change
167,2019-02-27,1122.89,1114.01,1125.73,1108.56,1100000.0,2,2019,1175.3846268899736,1117.7975000000001,-0.003248857130176086,Slight or No change
168,2019-02-26,1122.01,1114.37,1126.43,1106.7,1750000.0,2,2019,1175.0177579571323,1117.3775,-0.0007836920802573033,Slight or No change
169,2019-02-25,1117.33,1121.93,1125.4,1114.11,1310000.0,2,2019,1174.7224574774878,1119.6925,-0.00417108581919956,Slight or No change
170,2019-02-22,1116.56,1109.7,1117.25,1100.5,1470000.0,2,2019,1174.390271145129,1111.0025,-0.0006891428673713174,Slight or No change
